ANO;ID_ESPACIA;DEPTO;MUNICIPIO;Y_PROP;Y_PROP2;CUL_ILI;GRUPO_ARMA;ACCION_ARMADA;MINAS;INFRACCIONES_H;ACTO_TERRO
2015;5440;ANTIOQUIA;MARINILLA;0,0004683929;0,0504683929;0;0;0;0;0;0
2005;15516;BOYACA;PAIPA;0,0004681985;0,0504681985;0;0;0;0;0;0
2002;8573;ATLANTICO;PUERTO COLOMBIA;0,0004670379;0,0504670379;0;0;0;0;0;1
2010;70400;SUCRE;LA UNION;0,0004665920;0,0504665920;0;0;0;0;0;0
2013;5376;ANTIOQUIA;LA CEJA;0,0004665176;0,0504665176;0;0;0;0;0;0
2008;15839;BOYACA;TUTAZA;0,0004664179;0,0504664179;0;1;1;0;0;0
2009;25040;CUNDINAMARCA;ANOLAIMA;0,0004659832;0,0504659832;0;0;0;0;0;0
2012;63001;QUINDIO;ARMENIA;0,0004656817;0,0504656817;0;1;0;0;27;0
2013;17001;CALDAS;MANIZALES;0,0004654511;0,0504654511;0;1;0;0;10;0
2012;8421;ATLANTICO;LURUACO;0,0004640012;0,0504640012;0;0;0;0;0;0
2010;52022;NARIÑO;ALDANA;0,0004638936;0,0504638936;0;1;1;0;0;0
2002;8849;ATLANTICO;USIACURI;0,0004625347;0,0504625347;0;1;1;0;6;0
2013;25871;CUNDINAMARCA;VILLAGOMEZ;0,0004612546;0,0504612546;0;0;0;0;0;0
2006;8520;ATLANTICO;PALMAR DE VARELA;0,0004611386;0,0504611386;0;0;0;0;0;0
2010;85015;CASANARE;CHAMEZA;0,0004604052;0,0504604052;0;0;0;0;0;0
2010;25841;CUNDINAMARCA;UBAQUE;0,0004603345;0,0504603345;0;0;0;0;0;0
2004;15599;BOYACA;RAMIRIQUI;0,0004597701;0,0504597701;0;0;0;0;0;0
2008;17001;CALDAS;MANIZALES;0,0004595409;0,0504595409;0;1;1;0;32;1
2011;25743;CUNDINAMARCA;SILVANIA;0,0004590947;0,0504590947;0;0;0;0;0;0
2002;76001;VALLE DEL CAUCA;CALI;0,0004589568;0,0504589568;0;1;1;2;706;11
2004;15469;BOYACA;MONIQUIRA;0,0004583792;0,0504583792;0;1;0;0;6;0
2011;73268;TOLIMA;ESPINAL;0,0004581272;0,0504581272;0;1;0;0;2;0
2011;19300;CAUCA;GUACHENE;0,0004579221;0,0504579221;0;1;0;0;25;0
2006;76001;VALLE DEL CAUCA;CALI;0,0004578387;0,0504578387;0;1;1;1;464;15
2005;91263;AMAZONAS;EL ENCANTO;0,0004570384;0,0504570384;1;1;1;0;0;0
2013;25290;CUNDINAMARCA;FUSAGASUGA;0,0004562996;0,0504562996;0;0;0;0;0;0
2009;25658;CUNDINAMARCA;SAN FRANCISCO;0,0004557885;0,0504557885;0;0;0;0;0;0
2013;5318;ANTIOQUIA;GUARNE;0,0004555710;0,0504555710;0;1;0;0;4;0
2003;15837;BOYACA;TUTA;0,0004555290;0,0504555290;0;0;0;0;0;0
2014;25290;CUNDINAMARCA;FUSAGASUGA;0,0004548418;0,0504548418;0;0;0;0;0;0
2005;15097;BOYACA;BOAVITA;0,0004547522;0,0504547522;0;0;0;0;0;0
2015;25001;CUNDINAMARCA;AGUA DE DIOS;0,0004547522;0,0504547522;0;0;0;0;0;0
2006;15759;BOYACA;SOGAMOSO;0,0004534255;0,0504534255;0;1;0;0;8;0
2008;15778;BOYACA;SUTATENZA;0,0004533092;0,0504533092;0;1;1;0;0;0
2014;8638;ATLANTICO;SABANALARGA;0,0004532531;0,0504532531;0;0;0;0;0;0
2009;8372;ATLANTICO;JUAN DE ACOSTA;0,0004531624;0,0504531624;0;0;0;0;0;0
2002;73770;TOLIMA;SUAREZ;0,0004527960;0,0504527960;0;1;1;0;0;0
2012;25845;CUNDINAMARCA;UNE;0,0004526423;0,0504526423;0;0;0;0;0;0
2004;52210;NARIÑO;CONTADERO;0,0004522840;0,0504522840;0;0;0;0;0;0
2010;5237;ANTIOQUIA;DONMATIAS;0,0004520796;0,0504520796;0;0;0;0;0;0
2011;17442;CALDAS;MARMATO;0,0004520796;0,0504520796;0;1;0;0;2;0
2010;68547;SANTANDER;PIEDECUESTA;0,0004520625;0,0504520625;0;1;0;0;4;0
2009;13001;BOLIVAR;CARTAGENA;0,0004520423;0,0504520423;0;1;0;0;65;3
2005;66170;RISARALDA;DOSQUEBRADAS;0,0004518022;0,0504518022;0;1;1;0;122;1
2014;8634;ATLANTICO;SABANAGRANDE;0,0004514818;0,0504514818;0;0;0;0;0;0
2002;8433;ATLANTICO;MALAMBO;0,0004513583;0,0504513583;0;1;0;0;37;0
2014;25001;CUNDINAMARCA;AGUA DE DIOS;0,0004511414;0,0504511414;0;0;0;0;0;0
2015;25297;CUNDINAMARCA;GACHETA;0,0004510193;0,0504510193;0;0;0;0;0;0
2013;63272;QUINDIO;FILANDIA;0,0004507889;0,0504507889;0;0;0;0;0;0
2009;63001;QUINDIO;ARMENIA;0,0004489705;0,0504489705;0;1;1;0;21;0
2007;15740;BOYACA;SIACHOQUE;0,0004487827;0,0504487827;0;0;0;0;0;0
2006;25769;CUNDINAMARCA;SUBACHOQUE;0,0004484975;0,0504484975;0;0;0;0;0;0
2010;15693;BOYACA;SANTA ROSA DE VITERBO;0,0004484305;0,0504484305;0;0;0;0;0;0
2016;13620;BOLIVAR;SAN CRISTOBAL;0,0004481625;0,0504481625;0;0;0;0;0;0
2014;73275;TOLIMA;FLANDES;0,0004481522;0,0504481522;0;0;0;0;7;0
2014;15693;BOYACA;SANTA ROSA DE VITERBO;0,0004477946;0,0504477946;0;0;0;0;0;0
2010;17524;CALDAS;PALESTINA;0,0004464037;0,0504464037;0;1;1;0;8;0
2002;47703;MAGDALENA;SAN ZENON;0,0004461796;0,0504461796;0;1;0;0;1;0
2010;25875;CUNDINAMARCA;VILLETA;0,0004453982;0,0504453982;0;0;0;0;0;0
2008;25594;CUNDINAMARCA;QUETAME;0,0004453021;0,0504453021;0;0;0;0;0;0
2015;8436;ATLANTICO;MANATI;0,0004452077;0,0504452077;0;0;0;0;0;0
2012;73268;TOLIMA;ESPINAL;0,0004451602;0,0504451602;0;1;0;0;4;0
2004;68324;SANTANDER;GUAVATA;0,0004448399;0,0504448399;1;1;1;0;5;0
